"SDG","Frequency","Color"
"SDG 1",3,"#E5243B"
"SDG 11",13,"#FD9D24"
"SDG 12",6,"#BF8B2E"
"SDG 13",19,"#3F7E44"
"SDG 14",1,"#0A97D9"
"SDG 16",11,"#00689D"
"SDG 17",42,"#19486A"
"SDG 2",6,"#DDA63A"
"SDG 3",8,"#4C9F38"
"SDG 4",1,"#C5192D"
"SDG 6",1,"#26BDE2"
"SDG 7",1,"#FCC30B"
