Goal,Target,Probability,
SDG 10,SDG 10.a,0.0088824,
SDG 10,SDG 10.b,0.0088824,
SDG 10,SDG 10.c,0.0088824,
SDG 11,SDG 11.1,0.0088824,
SDG 11,SDG 11.2,0.0058824,
SDG 11,SDG 11.3,0.0058824,
SDG 11,SDG 11.4,0.0058824,
SDG 11,SDG 11.5,0.0073824,
SDG 11,SDG 11.6,0.0058824,
SDG 11,SDG 11.7,0.0058824,
SDG 11,SDG 11.a,0.0058824,
SDG 11,SDG 11.b,0.0058824,
SDG 11,SDG 11.c,0.0073824,
SDG 12,SDG 12.1,0.0053476,
SDG 12,SDG 12.2,0.0053476,
SDG 12,SDG 12.3,0.0053476,
SDG 12,SDG 12.4,0.0068476,
SDG 12,SDG 12.5,0.0053476,
SDG 12,SDG 12.6,0.0053476,
SDG 12,SDG 12.7,0.0068476,
SDG 12,SDG 12.8,0.0068476,
SDG 12,SDG 12.a,0.0053476,
SDG 12,SDG 12.b,0.0053476,
SDG 12,SDG 12.c,0.0053476,
SDG 13,SDG 13.1,0.0132647,
SDG 13,SDG 13.2,0.0132647,
SDG 13,SDG 13.3,0.0117647,
SDG 13,SDG 13.a,0.0117647,
SDG 13,SDG 13.b,0.0117647,
SDG 14,SDG 14.1,0.0073824,
SDG 14,SDG 14.2,0.0058824,
SDG 14,SDG 14.3,0.0058824,
SDG 14,SDG 14.4,0.0058824,
SDG 14,SDG 14.5,0.0058824,
SDG 14,SDG 14.6,0.0058824,
SDG 14,SDG 14.7,0.0073824,
SDG 14,SDG 14.a,0.0073824,
SDG 14,SDG 14.b,0.0073824,
SDG 14,SDG 14.c,0.0073824,
SDG 15,SDG 15.1,0.0049020,
SDG 15,SDG 15.2,0.0049020,
SDG 15,SDG 15.3,0.0049020,
SDG 15,SDG 15.4,0.0049020,
SDG 15,SDG 15.5,0.0049020,
SDG 15,SDG 15.6,0.0049020,
SDG 15,SDG 15.7,0.0049020,
SDG 15,SDG 15.8,0.0049020,
SDG 15,SDG 15.9,0.0049020,
SDG 15,SDG 15.a,0.0049020,
SDG 15,SDG 15.b,0.0049020,
SDG 15,SDG 15.c,0.0064020,
SDG 16,SDG 16.1,0.0049020,
SDG 16,SDG 16.2,0.0049020,
SDG 16,SDG 16.3,0.0049020,
SDG 16,SDG 16.4,0.0049020,
SDG 16,SDG 16.5,0.0049020,
SDG 16,SDG 16.6,0.0049020,
SDG 16,SDG 16.7,0.0049028,
SDG 16,SDG 16.8,0.0049020,
SDG 16,SDG 16.9,0.0064020,
SDG 16,SDG 16.10,0.0049020,
SDG 16,SDG 16.a,0.0049020,
SDG 16,SDG 16.b,0.0054020,
SDG 17,SDG 17.1,0.0010960,0.0005960
SDG 17,SDG 17.2,0.0010960,0.0005960
SDG 17,SDG 17.3,0.0010960,0.0005960
SDG 17,SDG 17.4,0.0010960,0.0005960
SDG 17,SDG 17.5,0.0010960,0.0005960
SDG 17,SDG 17.6,0.0010960,0.0005960
SDG 17,SDG 17.7,0.0010960,0.0005960
SDG 17,SDG 17.8,0.0010960,0.0005960
SDG 17,SDG 17.9,0.0010960,0.0005960
SDG 17,SDG 17.10,0.0010960,0.0005960
SDG 17,SDG 17.11,0.0010960,0.0005960
SDG 17,SDG 17.12,0.0010960,0.0005960
SDG 17,SDG 17.13,0.0010960,0.0005960
SDG 17,SDG 17.14,0.0010960,0.0005960
SDG 17,SDG 17.15,0.0010960,0.0005960
SDG 17,SDG 17.16,0.0010960,0.0005960
SDG 17,SDG 17.17,0.0010960,0.0005960
SDG 17,SDG 17.18,0.0010960,0.0005960
SDG 17,SDG 17.19,0.0010960,0.0005960
