"SDG","Frequency","Color"
"SDG 1",16,"#E5243B"
"SDG 10",16,"#DD1367"
"SDG 11",16,"#FD9D24"
"SDG 12",16,"#BF8B2E"
"SDG 13",16,"#3F7E44"
"SDG 3",16,"#4C9F38"
"SDG 4",16,"#C5192D"
"SDG 5",16,"#FF3A21"
"SDG 6",16,"#26BDE2"
"SDG 7",16,"#FCC30B"
"SDG 8",16,"#A21942"
"SDG 9",16,"#FD6925"
"SDG 15",10,"#56C02B"
"SDG 2",10,"#DDA63A"
"SDG 16",6,"#00689D"
"SDG 17",6,"#19486A"
"SDG 14",5,"#0A97D9"
