"SDG","Frequency","Color"
"SDG 9",3646,"#FD6925"
"SDG 12",3572,"#BF8B2E"
"SDG 13",2947,"#3F7E44"
"SDG 11",1461,"#FD9D24"
"SDG 10",1460,"#DD1367"
"SDG 3",1355,"#4C9F38"
"SDG 4",1337,"#C5192D"
"SDG 1",1336,"#E5243B"
"SDG 8",1288,"#A21942"
"SDG 5",1279,"#FF3A21"
"SDG 6",1267,"#26BDE2"
"SDG 7",1255,"#FCC30B"
"SDG 2",27,"#DDA63A"
"SDG 14",22,"#0A97D9"
"SDG 15",17,"#56C02B"
"SDG 16",17,"#00689D"
"SDG 17",6,"#19486A"
