"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"P079032","%",6.7,1.9,1.4,4.2,0,6.4,4.2,0,2.8,4.2,14.5,2.2,4.2,1.1,1.4,6.7,38.2,"SDG 17"
"P085375","%",2.9,1,2.2,3.2,4,43.7,0.1,0.1,2.6,3.2,8.8,1.6,3.8,0.9,2.6,10,9.4,"SDG 6"
"P086592","%",3.5,21.2,0.2,2.2,1.3,12.8,0.9,0.2,6.2,2,9.3,0.7,3.1,1.5,7.9,13,13.9,"SDG 2"
"P088799","%",6.5,22.3,2,2.7,1.4,1.7,0.4,0,3.2,5.1,14.6,3.2,2.3,1.7,12.8,9.1,11.1,"SDG 2"
"P088966","%",5.5,1,5.7,4.7,0.8,7.4,0.6,0.4,4.5,3.7,27.3,3.1,0.8,2.3,4.5,7.4,20.1,"SDG 11"
