"SDG","Frequency","Color"
"SDG 17",450,"#19486A"
"SDG 6",433,"#26BDE2"
"SDG 11",402,"#FD9D24"
"SDG 2",290,"#DDA63A"
"SDG 16",259,"#00689D"
"SDG 15",181,"#56C02B"
"SDG 1",138,"#E5243B"
"SDG 10",104,"#DD1367"
"SDG 9",103,"#FD6925"
"SDG 4",91,"#C5192D"
"SDG 13",77,"#3F7E44"
"SDG 3",65,"#4C9F38"
"SDG 12",62,"#BF8B2E"
"SDG 5",49,"#FF3A21"
"SDG 14",41,"#0A97D9"
"SDG 7",26,"#FCC30B"
"SDG 8",4,"#A21942"
