"SDG","Frequency","Color"
"SDG 1",5,"#E5243B"
"SDG 10",5,"#DD1367"
"SDG 11",5,"#FD9D24"
"SDG 12",5,"#BF8B2E"
"SDG 13",5,"#3F7E44"
"SDG 14",5,"#0A97D9"
"SDG 15",5,"#56C02B"
"SDG 16",5,"#00689D"
"SDG 17",5,"#19486A"
"SDG 2",5,"#DDA63A"
"SDG 3",5,"#4C9F38"
"SDG 4",5,"#C5192D"
"SDG 6",5,"#26BDE2"
"SDG 7",5,"#FCC30B"
"SDG 9",5,"#FD6925"
"SDG 5",4,"#FF3A21"
"SDG 8",3,"#A21942"
