"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"P079032","# matches",24,7,5,15,0,23,15,0,10,15,52,8,15,4,5,24,137,"SDG 17"
"P085375","# matches",20,7,15,22,28,303,1,1,18,22,61,11,26,6,18,69,65,"SDG 6"
"P086592","# matches",16,96,1,10,6,58,4,1,28,9,42,3,14,7,36,59,63,"SDG 2"
"P088799","# matches",51,175,16,21,11,13,3,0,25,40,114,25,18,13,100,71,87,"SDG 2"
"P088966","# matches",27,5,28,23,4,36,3,2,22,18,133,15,4,11,22,36,98,"SDG 11"
